,question_class,question,questions,image_id,correct_answer,correct_idx,model_answers,microns_per_pixel,domain,subdomain,modality,submodality,normal_or_abnormal
14,stain_0,A micrograph stained with {class}.,"['A micrograph stained with Ziehl-Neelsen.', 'A micrograph stained with IHC(HDab).', 'A micrograph stained with IHC(Red).', 'A micrograph stained with Congo Red.', 'A micrograph stained with H&E.', 'none of the above']",9e7c943c-c5a9-48a1-b30e-bcb2f92b2a4e,A micrograph stained with H&E.,4,"{'pred': [4], 'probs': [[6.573728114744881e-06, 0.0007006559171713889, 0.025515003129839897, 0.009105865843594074, 0.9646711945533752, 6.624392767662357e-07]], 'pred_prompt': ['A micrograph stained with H&E.']}",2.0,pathology,cardiovascular pathology,light microscopy,brightfield microscopy,none
15,stain_1,A microscopy image stained with {class}.,"['A microscopy image stained with Ziehl-Neelsen.', 'A microscopy image stained with IHC(HDab).', 'A microscopy image stained with IHC(Red).', 'A microscopy image stained with Congo Red.', 'A microscopy image stained with H&E.', 'none of the above']",9e7c943c-c5a9-48a1-b30e-bcb2f92b2a4e,A microscopy image stained with H&E.,4,"{'pred': [4], 'probs': [[3.32690274262859e-06, 0.0023522968403995037, 0.014247285202145576, 0.0026495952624827623, 0.980747401714325, 1.959008102403459e-07]], 'pred_prompt': ['A microscopy image stained with H&E.']}",2.0,pathology,cardiovascular pathology,light microscopy,brightfield microscopy,none
16,modality_0,A micrograph acquired through {class}.,"['A micrograph acquired through fluorescence microscopy.', 'A micrograph acquired through electron microscopy.', 'A micrograph acquired through light microscopy.', 'none of the above']",02bf6398-5f9a-479a-9359-8182ff96ce43,A micrograph acquired through light microscopy.,2,"{'pred': [2], 'probs': [[0.006001155823469162, 0.037573784589767456, 0.9555431008338928, 0.0008820391376502812]], 'pred_prompt': ['A micrograph acquired through light microscopy.']}",2.0,pathology,cardiovascular pathology,light microscopy,brightfield microscopy,none
17,modality_1,A microscopy image obtained through {class}.,"['A microscopy image obtained through fluorescence microscopy.', 'A microscopy image obtained through electron microscopy.', 'A microscopy image obtained through light microscopy.', 'none of the above']",02bf6398-5f9a-479a-9359-8182ff96ce43,A microscopy image obtained through light microscopy.,2,"{'pred': [2], 'probs': [[0.0008189334766939282, 0.12886568903923035, 0.8703077435493469, 7.666149031138048e-06]], 'pred_prompt': ['A microscopy image obtained through light microscopy.']}",2.0,pathology,cardiovascular pathology,light microscopy,brightfield microscopy,none
18,submodality_0,A micrograph acquired through {class}.,"['A micrograph acquired through mixed.', 'A micrograph acquired through polarized light microscopy.', 'A micrograph acquired through darkfield microscopy.', 'A micrograph acquired through brightfield microscopy.', 'A micrograph acquired through differential interference contrast microscopy.', 'none of the above']",02bf6398-5f9a-479a-9359-8182ff96ce43,A micrograph acquired through brightfield microscopy.,3,"{'pred': [1], 'probs': [[0.021280456334352493, 0.9675966501235962, 0.00011295661533949897, 0.008448843844234943, 0.0025545451790094376, 6.454535196098732e-06]], 'pred_prompt': ['A micrograph acquired through polarized light microscopy.']}",2.0,pathology,cardiovascular pathology,light microscopy,brightfield microscopy,none
19,submodality_1,A microscopy image obtained through {class}.,"['A microscopy image obtained through mixed.', 'A microscopy image obtained through polarized light microscopy.', 'A microscopy image obtained through darkfield microscopy.', 'A microscopy image obtained through brightfield microscopy.', 'A microscopy image obtained through differential interference contrast microscopy.', 'none of the above']",02bf6398-5f9a-479a-9359-8182ff96ce43,A microscopy image obtained through brightfield microscopy.,3,"{'pred': [1], 'probs': [[0.025542141869664192, 0.9173886179924011, 0.0006978076416999102, 0.043536823242902756, 0.01283338014036417, 1.1535933026607381e-06]], 'pred_prompt': ['A microscopy image obtained through polarized light microscopy.']}",2.0,pathology,cardiovascular pathology,light microscopy,brightfield microscopy,none
20,domain_0,"A micrograph, typically studied in {class}.","['A micrograph, typically studied in pathology.', 'A micrograph, typically studied in radiology.', 'A micrograph, typically studied in biology.', 'A micrograph, typically studied in cytology.', 'A micrograph, typically studied in dermatology.', 'none of the above']",02bf6398-5f9a-479a-9359-8182ff96ce43,"A micrograph, typically studied in pathology.",0,"{'pred': [1], 'probs': [[0.4597214460372925, 0.5373847484588623, 0.0028876960277557373, 2.729624156927457e-06, 3.3180122045450844e-06, 1.9196890743700123e-09]], 'pred_prompt': ['A micrograph, typically studied in radiology.']}",2.0,pathology,cardiovascular pathology,light microscopy,brightfield microscopy,none
21,domain_1,A microscopy image frequently studied in {class}.,"['A microscopy image frequently studied in pathology.', 'A microscopy image frequently studied in radiology.', 'A microscopy image frequently studied in biology.', 'A microscopy image frequently studied in cytology.', 'A microscopy image frequently studied in dermatology.', 'none of the above']",02bf6398-5f9a-479a-9359-8182ff96ce43,A microscopy image frequently studied in pathology.,0,"{'pred': [0], 'probs': [[0.6936472654342651, 0.19470438361167908, 0.10990742594003677, 0.0013143722899258137, 0.00042651648982428014, 4.059064906414278e-08]], 'pred_prompt': ['A microscopy image frequently studied in pathology.']}",2.0,pathology,cardiovascular pathology,light microscopy,brightfield microscopy,none
22,stain_0,A micrograph stained with {class}.,"['A micrograph stained with H&E.', 'A micrograph stained with Ziehl-Neelsen.', 'A micrograph stained with Basic fuchsin.', 'A micrograph stained with PAS.', 'A micrograph stained with IHC(HDab).', 'none of the above']",02bf6398-5f9a-479a-9359-8182ff96ce43,A micrograph stained with H&E.,0,"{'pred': [0], 'probs': [[0.9823122620582581, 3.0123476335575106e-07, 0.007112273946404457, 0.01031056884676218, 0.0002646744542289525, 2.118843767107137e-08]], 'pred_prompt': ['A micrograph stained with H&E.']}",2.0,pathology,cardiovascular pathology,light microscopy,brightfield microscopy,none
23,stain_1,A microscopy image stained with {class}.,"['A microscopy image stained with H&E.', 'A microscopy image stained with Ziehl-Neelsen.', 'A microscopy image stained with Basic fuchsin.', 'A microscopy image stained with PAS.', 'A microscopy image stained with IHC(HDab).', 'none of the above']",02bf6398-5f9a-479a-9359-8182ff96ce43,A microscopy image stained with H&E.,0,"{'pred': [0], 'probs': [[0.9850106835365295, 6.064568651709124e-07, 0.0026776143349707127, 0.01168434601277113, 0.0006267957505770028, 1.82157968708907e-08]], 'pred_prompt': ['A microscopy image stained with H&E.']}",2.0,pathology,cardiovascular pathology,light microscopy,brightfield microscopy,none
24,modality_0,A micrograph acquired through {class}.,"['A micrograph acquired through light microscopy.', 'A micrograph acquired through fluorescence microscopy.', 'A micrograph acquired through electron microscopy.', 'none of the above']",e2c1e384-5e4e-4201-ab96-9dfacf1aad72,A micrograph acquired through light microscopy.,0,"{'pred': [0], 'probs': [[0.9679664373397827, 0.02263985574245453, 0.009173151105642319, 0.00022057603928260505]], 'pred_prompt': ['A micrograph acquired through light microscopy.']}",2.0,pathology,cardiovascular pathology,light microscopy,brightfield microscopy,none
25,modality_1,A microscopy image obtained through {class}.,"['A microscopy image obtained through light microscopy.', 'A microscopy image obtained through fluorescence microscopy.', 'A microscopy image obtained through electron microscopy.', 'none of the above']",e2c1e384-5e4e-4201-ab96-9dfacf1aad72,A microscopy image obtained through light microscopy.,0,"{'pred': [0], 'probs': [[0.978282630443573, 0.0010803231270983815, 0.020635385066270828, 1.624495894247957e-06]], 'pred_prompt': ['A microscopy image obtained through light microscopy.']}",2.0,pathology,cardiovascular pathology,light microscopy,brightfield microscopy,none
26,submodality_0,A micrograph acquired through {class}.,"['A micrograph acquired through differential interference contrast microscopy.', 'A micrograph acquired through polarized light microscopy.', 'A micrograph acquired through synthetic.', 'A micrograph acquired through brightfield microscopy.', 'A micrograph acquired through darkfield microscopy.', 'none of the above']",e2c1e384-5e4e-4201-ab96-9dfacf1aad72,A micrograph acquired through brightfield microscopy.,3,"{'pred': [1], 'probs': [[0.0011407430283725262, 0.9932592511177063, 1.2220238204463385e-05, 0.0054540373384952545, 0.00013238271640148014, 1.4161366834741784e-06]], 'pred_prompt': ['A micrograph acquired through polarized light microscopy.']}",2.0,pathology,cardiovascular pathology,light microscopy,brightfield microscopy,none
27,submodality_1,A microscopy image obtained through {class}.,"['A microscopy image obtained through differential interference contrast microscopy.', 'A microscopy image obtained through polarized light microscopy.', 'A microscopy image obtained through synthetic.', 'A microscopy image obtained through brightfield microscopy.', 'A microscopy image obtained through darkfield microscopy.', 'none of the above']",e2c1e384-5e4e-4201-ab96-9dfacf1aad72,A microscopy image obtained through brightfield microscopy.,3,"{'pred': [1], 'probs': [[0.009070215746760368, 0.9392747282981873, 0.00033618565066717565, 0.050571080297231674, 0.0007473272271454334, 5.043017381467507e-07]], 'pred_prompt': ['A microscopy image obtained through polarized light microscopy.']}",2.0,pathology,cardiovascular pathology,light microscopy,brightfield microscopy,none
28,domain_0,"A micrograph, typically studied in {class}.","['A micrograph, typically studied in biology.', 'A micrograph, typically studied in pathology.', 'A micrograph, typically studied in cytology.', 'A micrograph, typically studied in ophthalmology.', 'A micrograph, typically studied in dermatology.', 'none of the above']",e2c1e384-5e4e-4201-ab96-9dfacf1aad72,"A micrograph, typically studied in pathology.",1,"{'pred': [1], 'probs': [[0.04580531641840935, 0.9539517164230347, 1.356744547820199e-07, 7.5119523899047635e-06, 0.00023526647419203073, 1.9883412694099434e-09]], 'pred_prompt': ['A micrograph, typically studied in pathology.']}",2.0,pathology,cardiovascular pathology,light microscopy,brightfield microscopy,none
29,domain_1,A microscopy image frequently studied in {class}.,"['A microscopy image frequently studied in biology.', 'A microscopy image frequently studied in pathology.', 'A microscopy image frequently studied in cytology.', 'A microscopy image frequently studied in ophthalmology.', 'A microscopy image frequently studied in dermatology.', 'none of the above']",e2c1e384-5e4e-4201-ab96-9dfacf1aad72,A microscopy image frequently studied in pathology.,1,"{'pred': [0], 'probs': [[0.49664416909217834, 0.493599534034729, 0.00019426886865403503, 0.001188718480989337, 0.008373228833079338, 3.233341416830626e-08]], 'pred_prompt': ['A microscopy image frequently studied in biology.']}",2.0,pathology,cardiovascular pathology,light microscopy,brightfield microscopy,none
30,stain_0,A micrograph stained with {class}.,"['A micrograph stained with Giemsa.', 'A micrograph stained with H&E.', 'A micrograph stained with PAS.', 'A micrograph stained with IHC(Red).', 'A micrograph stained with Congo Red.', 'none of the above']",e2c1e384-5e4e-4201-ab96-9dfacf1aad72,A micrograph stained with H&E.,1,"{'pred': [2], 'probs': [[0.006890348624438047, 0.43892011046409607, 0.5153713226318359, 0.008940394036471844, 0.029877834022045135, 3.8564213156178084e-08]], 'pred_prompt': ['A micrograph stained with PAS.']}",2.0,pathology,cardiovascular pathology,light microscopy,brightfield microscopy,none
31,stain_1,A microscopy image stained with {class}.,"['A microscopy image stained with Giemsa.', 'A microscopy image stained with H&E.', 'A microscopy image stained with PAS.', 'A microscopy image stained with IHC(Red).', 'A microscopy image stained with Congo Red.', 'none of the above']",e2c1e384-5e4e-4201-ab96-9dfacf1aad72,A microscopy image stained with H&E.,1,"{'pred': [1], 'probs': [[0.012558400630950928, 0.5081243515014648, 0.45959439873695374, 0.009728416800498962, 0.009994341991841793, 4.474989268032914e-08]], 'pred_prompt': ['A microscopy image stained with H&E.']}",2.0,pathology,cardiovascular pathology,light microscopy,brightfield microscopy,none
32,modality_0,A micrograph acquired through {class}.,"['A micrograph acquired through electron microscopy.', 'A micrograph acquired through light microscopy.', 'A micrograph acquired through fluorescence microscopy.', 'none of the above']",4741be1b-9ec4-4e28-a36f-885338f343c1,A micrograph acquired through light microscopy.,1,"{'pred': [1], 'probs': [[0.03434527665376663, 0.9415561556816101, 0.019755512475967407, 0.004343080334365368]], 'pred_prompt': ['A micrograph acquired through light microscopy.']}",2.0,pathology,cardiovascular pathology,light microscopy,brightfield microscopy,none
33,modality_1,A microscopy image obtained through {class}.,"['A microscopy image obtained through electron microscopy.', 'A microscopy image obtained through light microscopy.', 'A microscopy image obtained through fluorescence microscopy.', 'none of the above']",4741be1b-9ec4-4e28-a36f-885338f343c1,A microscopy image obtained through light microscopy.,1,"{'pred': [1], 'probs': [[0.06069435924291611, 0.9362953305244446, 0.0029638223350048065, 4.6442630264209583e-05]], 'pred_prompt': ['A microscopy image obtained through light microscopy.']}",2.0,pathology,cardiovascular pathology,light microscopy,brightfield microscopy,none
34,submodality_0,A micrograph acquired through {class}.,"['A micrograph acquired through phase contrast microscopy.', 'A micrograph acquired through synthetic.', 'A micrograph acquired through polarized light microscopy.', 'A micrograph acquired through darkfield microscopy.', 'A micrograph acquired through brightfield microscopy.', 'none of the above']",4741be1b-9ec4-4e28-a36f-885338f343c1,A micrograph acquired through brightfield microscopy.,4,"{'pred': [2], 'probs': [[0.012985828332602978, 1.8816448573488742e-05, 0.9789764285087585, 9.716024214867502e-05, 0.007896624505519867, 2.5153605747618712e-05]], 'pred_prompt': ['A micrograph acquired through polarized light microscopy.']}",2.0,pathology,cardiovascular pathology,light microscopy,brightfield microscopy,none
35,submodality_1,A microscopy image obtained through {class}.,"['A microscopy image obtained through phase contrast microscopy.', 'A microscopy image obtained through synthetic.', 'A microscopy image obtained through polarized light microscopy.', 'A microscopy image obtained through darkfield microscopy.', 'A microscopy image obtained through brightfield microscopy.', 'none of the above']",4741be1b-9ec4-4e28-a36f-885338f343c1,A microscopy image obtained through brightfield microscopy.,4,"{'pred': [2], 'probs': [[0.07523582875728607, 0.00010475391172803938, 0.8784529566764832, 0.0006087352521717548, 0.04558951035141945, 8.226208592532203e-06]], 'pred_prompt': ['A microscopy image obtained through polarized light microscopy.']}",2.0,pathology,cardiovascular pathology,light microscopy,brightfield microscopy,none
36,domain_0,"A micrograph, typically studied in {class}.","['A micrograph, typically studied in pathology.', 'A micrograph, typically studied in dermatology.', 'A micrograph, typically studied in biology.', 'A micrograph, typically studied in radiology.', 'A micrograph, typically studied in cytology.', 'none of the above']",4741be1b-9ec4-4e28-a36f-885338f343c1,"A micrograph, typically studied in pathology.",0,"{'pred': [0], 'probs': [[0.8167073130607605, 0.0007758951396681368, 0.011501777917146683, 0.17101231217384338, 2.5691026621643687e-06, 1.3415292698937265e-07]], 'pred_prompt': ['A micrograph, typically studied in pathology.']}",2.0,pathology,cardiovascular pathology,light microscopy,brightfield microscopy,none
37,domain_1,A microscopy image frequently studied in {class}.,"['A microscopy image frequently studied in pathology.', 'A microscopy image frequently studied in dermatology.', 'A microscopy image frequently studied in biology.', 'A microscopy image frequently studied in radiology.', 'A microscopy image frequently studied in cytology.', 'none of the above']",4741be1b-9ec4-4e28-a36f-885338f343c1,A microscopy image frequently studied in pathology.,0,"{'pred': [0], 'probs': [[0.6899998784065247, 0.013531526550650597, 0.1985839456319809, 0.09610898792743683, 0.0017744081560522318, 1.1901416883119964e-06]], 'pred_prompt': ['A microscopy image frequently studied in pathology.']}",2.0,pathology,cardiovascular pathology,light microscopy,brightfield microscopy,none
38,stain_0,A micrograph stained with {class}.,"['A micrograph stained with PAS.', 'A micrograph stained with Alcian Blue.', 'A micrograph stained with IHC(HDab).', 'A micrograph stained with H&E.', 'A micrograph stained with synthetic.', 'none of the above']",4741be1b-9ec4-4e28-a36f-885338f343c1,A micrograph stained with H&E.,3,"{'pred': [3], 'probs': [[0.10423897951841354, 0.006628269329667091, 0.012212734669446945, 0.8705312609672546, 0.0063885850831866264, 1.363626580541677e-07]], 'pred_prompt': ['A micrograph stained with H&E.']}",2.0,pathology,cardiovascular pathology,light microscopy,brightfield microscopy,none
39,stain_1,A microscopy image stained with {class}.,"['A microscopy image stained with PAS.', 'A microscopy image stained with Alcian Blue.', 'A microscopy image stained with IHC(HDab).', 'A microscopy image stained with H&E.', 'A microscopy image stained with synthetic.', 'none of the above']",4741be1b-9ec4-4e28-a36f-885338f343c1,A microscopy image stained with H&E.,3,"{'pred': [3], 'probs': [[0.0866992399096489, 0.008953632786870003, 0.03732004016637802, 0.8606708645820618, 0.00635614013299346, 5.874318276255508e-08]], 'pred_prompt': ['A microscopy image stained with H&E.']}",2.0,pathology,cardiovascular pathology,light microscopy,brightfield microscopy,none
40,modality_0,A micrograph acquired through {class}.,"['A micrograph acquired through fluorescence microscopy.', 'A micrograph acquired through electron microscopy.', 'A micrograph acquired through light microscopy.', 'none of the above']",006ae0ac-ee95-4e87-ac9c-50447384ffbc,A micrograph acquired through light microscopy.,2,"{'pred': [3], 'probs': [[0.006086182780563831, 0.010791572742164135, 0.4909540116786957, 0.4921681880950928]], 'pred_prompt': ['none of the above']}",2.0,pathology,cardiovascular pathology,light microscopy,brightfield microscopy,none
41,modality_1,A microscopy image obtained through {class}.,"['A microscopy image obtained through fluorescence microscopy.', 'A microscopy image obtained through electron microscopy.', 'A microscopy image obtained through light microscopy.', 'none of the above']",006ae0ac-ee95-4e87-ac9c-50447384ffbc,A microscopy image obtained through light microscopy.,2,"{'pred': [2], 'probs': [[0.001039237016811967, 0.008936481550335884, 0.9855315685272217, 0.004492730833590031]], 'pred_prompt': ['A microscopy image obtained through light microscopy.']}",2.0,pathology,cardiovascular pathology,light microscopy,brightfield microscopy,none
42,submodality_0,A micrograph acquired through {class}.,"['A micrograph acquired through mixed.', 'A micrograph acquired through synthetic.', 'A micrograph acquired through phase contrast microscopy.', 'A micrograph acquired through differential interference contrast microscopy.', 'A micrograph acquired through brightfield microscopy.', 'none of the above']",006ae0ac-ee95-4e87-ac9c-50447384ffbc,A micrograph acquired through brightfield microscopy.,4,"{'pred': [2], 'probs': [[0.013330547139048576, 0.001657905406318605, 0.4276123046875, 0.23297083377838135, 0.19357922673225403, 0.13084916770458221]], 'pred_prompt': ['A micrograph acquired through phase contrast microscopy.']}",2.0,pathology,cardiovascular pathology,light microscopy,brightfield microscopy,none
43,submodality_1,A microscopy image obtained through {class}.,"['A microscopy image obtained through mixed.', 'A microscopy image obtained through synthetic.', 'A microscopy image obtained through phase contrast microscopy.', 'A microscopy image obtained through differential interference contrast microscopy.', 'A microscopy image obtained through brightfield microscopy.', 'none of the above']",006ae0ac-ee95-4e87-ac9c-50447384ffbc,A microscopy image obtained through brightfield microscopy.,4,"{'pred': [2], 'probs': [[0.000484346499433741, 0.0009225935791619122, 0.6066344976425171, 0.1658984273672104, 0.22066935896873474, 0.005390750709921122]], 'pred_prompt': ['A microscopy image obtained through phase contrast microscopy.']}",2.0,pathology,cardiovascular pathology,light microscopy,brightfield microscopy,none
44,domain_0,"A micrograph, typically studied in {class}.","['A micrograph, typically studied in cytology.', 'A micrograph, typically studied in pathology.', 'A micrograph, typically studied in radiology.', 'A micrograph, typically studied in biology.', 'A micrograph, typically studied in dermatology.', 'none of the above']",006ae0ac-ee95-4e87-ac9c-50447384ffbc,"A micrograph, typically studied in pathology.",1,"{'pred': [1], 'probs': [[2.2065448774810648e-06, 0.8865640759468079, 0.08674414455890656, 0.022782521322369576, 0.00388130871579051, 2.571887307567522e-05]], 'pred_prompt': ['A micrograph, typically studied in pathology.']}",2.0,pathology,cardiovascular pathology,light microscopy,brightfield microscopy,none
